ロボット1	もう深夜1時だよ。早く寝なさい。
A君1	いや、まだ仕事が終わらないから寝れない。
ロボット2	昨日もそう言った。昨日は寝たの3時じゃないか。
A君2	多分、昨日よりは早く寝れる。
ロボット3	そんなの関係ない！十分な睡眠を取らないと身体壊すよ。
A君3	わかってる、わかってるけど仕事が…
ロボット4	あなたは生活改善治すために私も一緒に暮らしてるのにこれじゃあ意味無い。
A君4	うっ…
ロボット5	健康になって欲しくて私も厳しくしてるの辛い…。A君と楽しく過ごしたいのに…
A君5	ご、ごめん
ロボット6	反省するなら寝てください。じゃないと今からあなたを抱きしめて離さず朝まで添い寝します。
A君6	わかった！寝るよ。君が抱きしめると骨が折れる！
ロボット7	ふふふ。ありがとうございます。次からは早く寝て早く起きて仕事しましょう。朝日を浴びながらの仕事は気持ちいいですよ。
A君7	…そうだね、生活改善するのだから早寝早起きに治そうか。協力してくれる？
ロボット8	はい、そのためにあなたと一緒に住んでますから。
A君8	ありがとう。ところでさ…
ロボット9	はい、何でしょう？
A君9	抱きしめは勘弁だけど添い寝はしてくれる？誰かと一緒に眠りたいんだ。
ロボット10	私でよければいいですよ。
A君10	じゃあ、寝ようか。
