ロボット1	もう２２時ですよ。A君、もう寝る時間ですよ。さあ、さあ、ベッドに行きましょう。
A君1	あと、１０分。今、テレビがいいところなんだ。
ロボット2	ダメです。お母さんとお父さんとの寝る約束の時間です。ゆるしませんよ。さあ、行きましょう。
A君2	やだ~行きたくない。これがおわってから。
ロボット3	ダメです。行きましょう。さあ。
A君3	やだ~あとちょっと。
ロボット4	テレビは明日でも見れるでしょう。僕が、ビデオをとってあげますから、さあ、さあ。
A君4	えーでも…喉乾いたし。麦茶のんでから行くよ。
ロボット5	もう、しょうがないですねぇ。麦茶だけですよ。
A君5	わかってるよ。
ロボット6	さあ、麦茶で喉も潤ったし、行きましょう。
A君6	あ、歯磨きしてなかった。
ロボット7	では、歯を磨いてきてください。寝なくてはいけませんけれど、歯磨きは丁寧に、いつもいってるように最低５分は磨いてくださいね。
A君7	はい、はい、わかったよ。
ロボット8	おわりましたか？もう、いい加減ベッドに行きましょう。
A君8	歯磨き終わったよ。あ！でもお母さん、学校の休みの日の前日はいつもより３０分遅く寝てもいいって言ってたの忘れてた。だからあと少し、テレビ見てから行くよ。
ロボット9	そんなこと言って、寝たくないだけじゃないですか。
A君9	そんなことないって。
ロボット10	あ、でも今私と話してましたから、ほら時計みごらんなさい。あと１分で10時半ですよ。
A君10	あ、ほんとだ。残念。じゃあ、しょうがないから寝るよ。
