ロボット1	Aクン、もう寝ましょうヨ。
A君1	うーん、もうちょっとしたらね?。
ロボット2	もう0時過ぎてマスヨ。
A君2	この動画が終わったらね。
ロボット3	Aクン、そんなのいつでも見れるじゃないデスカ。
A君3	今見たいんだもーん。
ロボット4	寝る前にそんな画面を見ていたら、脳が覚醒して寝付けなくなってしまいマスヨ。
A君4	そうだけど?。
ロボット5	早寝早起きをすれば自律神経が正常に機能して、脳にも身体にも良いんデスヨ。
A君5	みたいだね?。
ロボット6	Aクン、早寝早起きする目標はどうしたんデスカ？
A君6	明日からの目標にするよ。
ロボット7	それ、前にも言ってマシタヨ…。
A君7	今日だけ、見逃して。
ロボット8	Aクン…頑張ってもっとちゃんとした生活をするんだって言ってマシタヨネ？
A君8	あとちょっとだけ待って?。
ロボット9	ワタシはAクンが規則正しい生活を送れるようになるためにAクンの側に居るのに…ワタシは役に立てないんデショウカ…。
A君9	そんな悲しそうにしないでよ?。
ロボット10	だって…Aクンの夜更かし癖、ちっとも直らないじゃないデスカ…。Aクンのサポートロボット、ワタシは失格デス…。ウゥ…。
A君10	泣かないでよ。分かったよ、もう寝るしこれからはもっと早く寝るようにするよ。
ロボット	本当デスカ??
A君	うん、気をつけるよ。
ロボット	う、嬉しいデス?！
A君	もう?、僕のためにありがとう。これからもよろしくね。
