ロボット1	A君明日も学校なのでそろそろ寝ましょう。
A君1	まだやりたい事があるからまだ寝れないよ！
ロボット2	やりたい事とはそれですか？
A君2	そうだよ！これが終わらないと眠れないよ！
ロボット3	それは明日までに必要なことですか？
A君3	明日までに必要ぢゃないけど、、、
ロボット4	A君今やりたい気持ちはわかります。でも明日起きれなかったらまた起こられますよ？
A君4	明日は絶対起きれる！大丈夫だよ！
ロボット5	それは何回も聞きました。もし今寝て明日早く起きれたらどうなると思いますか？
A君5	どうってなにが？
ロボット6	今寝て早く起きたら今やっている事の続きができます。早く起きれば怒られなく遅刻もしないですよ？
A君6	でもー早く起きれるかな？
ロボット7	大丈夫です。私が起こしてあげますよ。
A君7	本当に？
ロボット8	本当です。約束します。まず目覚ましをかけてみて下さい。その後起きれなかったら私が起こします。
A君8	明日何時に起きたらいいと思う？
ロボット9	まず練習してみましょう。7時にご飯をたべるのでその前に起きるので明日は6時に起きてみましょう。
A君9	6時！？はやいよー！大丈夫かなぁ？
ロボット10	大丈夫です。私はいつもA君のみかたです。A君なら絶対に大丈夫です。
A君10	そこまでいってくれるならやってみるね。おやすみなさい。
