ロボット1	そろそろ寝ませんか？
A君1	まだ眠くないよ
ロボット2	眠くなくても、布団に入って横になると、不思議と眠くなるものですよ。
A君2	そうかもしれないけど、まだ寝たくないの。
ロボット3	まったく、それで翌朝起きられなくて困るのは誰なんですか！
A君3	大丈夫、明日は起きるように頑張るよ。
ロボット4	いいえ、信用なりません！
A君4	大丈夫だって！
ロボット5	朝起きることができないと朝食もしっかり食べられませんよ？
A君5	別に食べなくても平気だし。
ロボット6	寝不足と朝食抜きで出かけた結果、貧血で倒れることもあるのですよ？
A君6	そうなんだ。
ロボット7	部活動や学習面では、寝不足で最高のパフォーマンスを発揮できないこともありますね。
A君7	へぇ。
ロボット8	早寝早起きの習慣をつければ、毎日の生活に余裕も出て、イライラも少なくなりますよ。
A君8	確かに最近、イライラするんだよ。
ロボット9 	 寝不足が原因で悲しい顔をしているあなたを見たくはありません。
A君9	それじゃあ、久しぶりに早めに寝れるよう努力してみるよ。
ロボット10	では、少しでも入眠しやすいように、ホットミルクを作りましょう！
A君10	明日は気分良く起きられると良いな！
