ロボット1	A君…。こんなにお部屋汚くていいの？
A君1	別に。僕の部屋だし。
ロボット2	でも、友達が来た時とか汚いと困らない？
A君2	んー、でも今の所友達来る予定ないし。
ロボット3	でも、お部屋が汚いとなんか気持ちも落ち込まない？
A君3	そんなことないかなー。
ロボット4	とりあえず、１回掃除してみようよ！
A君4	めんどくさい。
ロボット5	そんな事言わずにさ、やろうよ！！
A君5	だから、めんどくさいって！！
ロボット6	そんな言い方しなくても…。
A君6	しつこいからだろ。
ロボット7	あっそう。じゃあ私のいる意味は無いよね？
A君7	どういうこと？
ロボット8	生活指導としてここにいるけど、私の言う事は聞く耳ももたず、行動を起こさないようじゃ必要ないよね？
A君8	そこまで言ってないけど。
ロボット9	私にはそう聞こえた。
A君9	そんなつもりはないけど、ごめん。
ロボット10	じゃあ許す変わりに掃除してくれる？A君1人じゃなくて私も手伝うから、一緒に頑張ろ！
A君10	んー、仕方ないなー分かったよ。
ロボット11	やったーー！よし！じゃあ頑張ろう！
A君11	はいはい。
ロボット12	あ、これから先掃除が楽になるように考えながら掃除していこう！
A君12	それいいアイデアだね！よーし頑張るぞー！
