ロボット1	A君、今日のスケジュールに掃除の時間を組みました。
A君1	掃除？何で？
ロボット2	部屋が汚くなってきたからです。
A君2	そうかなー。まだそんなに汚くなってないと思うけど。
ロボット3	では、クローゼットの周りを見てどう思いますか？
A君3	服が散らかってるとは思うよ。でも、全部洗濯が必要な訳じゃないんだよね。
ロボット4	では、リビングのソファーの辺りを見てどう思いますか？
A君4	あぁ、本とかコーヒーカップとか置きっぱなしだけど、またすぐに使うしさ。
ロボット5	私はA君がこの部屋で快適に暮らせるようサポートする為にいますが、今のこの部屋の状況は明らかに掃除が必要なタイミングだと判断されます。
A君5	でもさ、まだ汚いってほどじゃないと思うんだよ。
ロボット6	私はA君の汚くないという基準が理解できません。
A君6	それに、今日は他にやることもあるし、掃除をする気分じゃないんだよね。
ロボット7	はぁー。掃除をする気分になるのを待ってできるなら、私は必要ないですよね。
A君7	必要ないってことはないけど、まぁそうかもね。
ロボット8	A君が今日のスケジュールで掃除をしてくれないと、私は明日以降も同じことを言わなければならないんです。悲しいです。
A君8	そんなこと言ってもさぁー。
ロボット9	それに、今日のスケジュール内で掃除をしてしまえば最短時間で済ませることができますよ。
A君9	そうなの？
ロボット10	はい。これまでにA君が掃除にかかった時間を分析すると、これ以上日を伸ばすと掃除にかかる時間が長くなり、途中で止めてしまう確率が高くなります。これはお互い嫌ですよね。
A君10	確かにね。
ロボット11	今日掃除をしておけば誰かが急に訪ねてきても慌てることはないし、A君も快適に暮らせますよ。嬉しくないですか？
A君11	まぁね。
ロボット12	私も嬉しいです。
A君12	そう？で、スケジュールに入れた掃除の時間って何分なの？
ロボット13	たった30分ですよ。
A君13	たった30分って言うかなぁ。まぁいいよ。やるよ。
