ロボット1	もうそろそろ部屋が汚くなってきたね。部屋が悲しんでるし、僕も悲しい。
A君1	この間掃除したところだよ。
ロボット2	もうずいぶんたったけどな。
A君2	今やらないといけないことがあるから、掃除にあてる時間がないよ。
ロボット3	部屋の掃除って自分でやるもんだよね。
A君3	わかっているけど、ぼく宿題をしないといけないんだ。
ロボット4	宿題を始める前にパッパッと掃除終わらせようよ。
A君4	掃除をしたら疲れてしまって、宿題をする気になれないなぁ。
ロボット5	そんなこといってたら、毎日そうじできないじゃないか。
A君5	ぼく部屋の汚れなんて気にならないよ。
ロボット6	どうして君はぼくの意見をきいてくれないの。
A君6	ぼくのやりたいようにしたいからだよ。
ロボット7	部屋の掃除をしたり、生活習慣を改善することはとても大切なんだよ。
A君7	えっ。なんで。
ロボット8	いつも整理整頓した部屋で過ごすから毎日健康で健やかに過ごせるんだ。気分も落ち着くし。
A君8	そういわれてみたら、部屋の掃除をしてみるのもいいような気がしてきた。
ロボット9	少しの時間でいいから宿題の前に掃除をしてみて。きっと落ち着いた気持ちで宿題ができると思うよ。
A君9	じゃあ、やってみる。
ロボット10	本当。頑張ってね。
A君10	なんだか、部屋がきれいになると気持ちも落ち着いて宿題も頑張って取り組めそうだよ。ありがとう。
