ロボット1	そうだねえ。君の家はきれいには見えるよ。
A君1	え、そうでしょ。私、掃除ができてない家ではゆっくりできないのよね。
ロボット2	うん、そんな感じがするよ。見えるところはきれいになってるから。
A君2	え、見えるところって？
ロボット3	普通に玄関に入って、居間に通されると、玄関もきれいに見えるし、居間もきれいに見えるってこと。でも、この家で生活してみると、あ、ここも掃除しないとね、しなくちゃねって、思うところない？
A君3	あるある。どうしてわかった？
ロボット4	まあ、普通の人はまず見えるところからするからね。
A君4	じゃあ、どういうところが足りないと思う？
ロボット5	下を見たら、きれいじゃん、でも横を向いてごらん。
A君5	はい？
ロボット6	ほら、窓もちょと曇ってるし、ガラスクリーナーでふいたら、もっときれいになって部屋が明るくなるよ。
A君6	そうですね。窓って一年に２回お正月とお盆にしかふかなかったりして。
ロボット7	それと、カーテンもまめにせんたくしないとちょっと色が黒っぽくなって、ほこりくさいよ。
A君7	えー、めんどくさいじゃん。
ロボット8	それと、特にもっと掃除をしないといけないところは、台所！
A君8	どんなに、油飛んでるか知ってるでしょ。なかなか取れないからめんどうくさい。
ロボット9	だから、まめに毎日使ったところはふかないといけないよ。特に油を使った日はレンジの横のかべだけじゃなくて、床にもたくさんの油とんでるよ。
A君9	そんなこと言ったら、私、仕事もしてるのに、寝るなっていうことじゃん。
ロボット10	だから、ぼくがいるんですよ！！
A君10	そうよね！手伝ってくれたらいいけど、高いから、こうやってアドバイスだけでもくれたら、ありがたいっか。
