ロボット1	A君もう一ヶ月も自室の掃除をしていませんよ。掃除をしてください。
A君1	大丈夫だよ。掃除なんてしなくても死ぬわけじゃないし。
ロボット2	ダニや害虫がA君の健康を損なうかもしれません。そう思うと私は心配で、悲しくなります。
A君2	うーん。それは嫌だな…
ロボット3	そうでしょう。では、掃除を。
A君3	じゃあロボットがやってよ。
ロボット4	それは私の仕事ではありません。A君の生活指導をするのが私の役目です。
A君4	面倒くさいな。母さんもどうしてこんなポンコツを僕にくれたんだろう！
ロボット5	ポンコツとはなんですか！いくら私でも怒りますよ。
A君5	うわあ、ごめんなさい！
ロボット6	それにお母様にも失礼です。A君のためを思ってくれた誕生日プレゼントです。
A君6	そうだよね。ロボットって結構高いはずなのに…
ロボット7	はい。そしてA君の誕生日が私の誕生日です。私たちは兄弟のようなものです。
A君7	口うるさい弟だ。
ロボット8	A君は手間がかかる兄です。
A君8	はいはい、ごめんなさい。
ロボット9	ではもう一度言います。自室を掃除してください。
A君9	分かったよ、じゃあ掃除機を取ってくるね。
ロボット10	A君が私の言うことを聞いてくれて嬉しいです。
A君10	はあ、これじゃあどっちが兄かわからないや。
