ロボット1	A君、散らかしすぎですよ、掃除をしましょう。
A君1	嫌だよ、めんどくさい。
ロボット2	部屋が汚いのはだらしがないですよ。
A君2	散らかってたほうが落ち着くんだよ。
ロボット3	掃除をしないとどんどん部屋が汚くなってゴキブリが出るようになりますよ。
A君3	良いよ、お母さんに退治してもらうから。
ロボット4	お母さんは退治してくれません。
A君4	何でだよ。
ロボット5	自分が部屋を掃除しないせいでしょう、自分で何とかしなさい。
A君5	じゃあ君もゴキブリが出たら助けてくれないの？
ロボット6	当たり前でしょう、私の忠告を聞かないのだから。
A君6	言うことを聞いて掃除をしたら助けてくれるの？
ロボット7	掃除をしていつも部屋を清潔に保っていればゴキブリも出てこないですよ。
A君7	本当？
ロボット8	はい、それに部屋がキレイだと忘れ物もしなくなるしお母さんにも褒められるし良いことだらけですよ。
A君8	分かった、今からやるよ。
ロボット9	分かってもらえたなら良かったです。
A君9	掃除するけど、それでもゴキブリが出たときは退治してくれる？
ロボット10	任せなさい。
A君10	良かった。
