ロボット1	そろそろ部屋の掃除をしてくれませんか？
A君1	なんで？まだ綺麗でしょ？
ロボット2	いえ、１週間前と比べるとかなり汚れてます
A君2	そうかな　僕には同じに見えるけどな
ロボット3	疑うなら先週の部屋の画像をお見せしましょうか？
A君3	え？そんな画像保存してんの？
ロボット4	ええ、綺麗な状態を保存しておくと掃除をする判断材料になりますから
A君4	細かいんだね
ロボット5	それが私の仕事ですから
A君5	ところで掃除しないと何か困る事あるの？
ロボット6	健康に影響がでます
A君6	今まで病気になった事ないよ
ロボット7	心理的にも影響があります
A君7	どういう事？
ロボット8	部屋の乱れは心の乱れと言われています
A君8	ロボットのくせに古臭いこと知ってんだね
ロボット9	古い文献のデータも記録されてますから
A君9	じゃあ部屋の掃除をロボットにやらせる方法とかのデータもある？
ロボット10	それはありませんが、掃除をしない人のデータを載せるブラックリストならあります。
A君10	そのブラックリストに載るとどうなるの？
ロボット11	問題ありの人物としてずっとデータに記録されます
A君11	なんか怖い話になってきたな
ロボット	ブラックリストに載りたくなかったら掃除してください
A君	わかったよ　やるよ
