ロボット1	A君そろそろ晩御飯前だから遊んでいるものをかたずけて掃除をしようよ。
A君1	まだまだ遊びたいからだめだよ。
ロボット2	じゃああと5分だよ。18時50分になったら掃除をするからね。
A君2	わかったよ。
ロボット3	18時50分になったよ。かたずけて掃除だ。
A君3	えーっ。もう5分たったの？お願いあと5分遊ばせて。
ロボット4	だめだよ約束だから。
A君4	でもお父さんも帰っていないし晩御飯はまだまだだからもう少し遊べるよ。
ロボット5	初めに5分って決めたんだからその通りにやろうよ。決めた意味がないでしょ。
A君5	でも僕はまだ遊びたいんだ。
ロボット6	決めた事を時間通りにこなして行かないと時間が足りなくなるんだ。
A君6	時間がたりなくなったら掃除しなければいいじゃん。
ロボット7	初めに決めた約束を守らないA君が悲しいよ。
A君7	約束を守らない僕は悲しいのか。
ロボット8	なんでも決めた事はやってくれたら嬉しいです。
A君8	じゃあ僕、掃除するね。
ロボット9	ホント！？ありがとう。
A君9	掃除始めるぞー。
ロボット10	A君毎日18時50分には必ず掃除をするんだよ。
A君10	はいはい。わかりました。
