ロボット1	そろそろ部屋を掃除しませんか？
A君1	んー？
ロボット2	だいぶ汚くなってきたと思うのですが
A君2	まだ平気だよ
ロボット3	まとめてやるより、気が付いたときにやるのがおすすめです
A君3	今は忙しいから、明日明日
ロボット4	そうやって先延ばしにすると、どんどんめんどうになっていきますよ
A君4	だから明日ちゃんとやるってば
ロボット5	Aくん、いつまでもだらだらしていると、私も怒りますよ
A君5	…
ロボット6	掃除をすると、頭もすっきりしますよ
A君6	そうかなぁ
ロボット7	気分もよくなるはずです
A君7	でもめんどうだなぁ
ロボット8	私もきれいな部屋で過ごせると気持ちがいいのですが
A君8	そうかもしれないけどさぁ
ロボット9	それに、今日やれば明日まですっきりした気分で過ごせます
A君9	うん
ロボット10	でも、明日やると今から明日まで「掃除をしなきゃ」という気分で過ごさなければいけなくなります
A君10	あ、そうか
ロボット	こう考えると、どうせやるなら今やって、なるべく多くの時間をすっきりした気分で過ごすほうがお得ではないですか？
A君	そうだね、わかった掃除するよ
