ロボット1	A君、こんなに部屋が汚く散らかっているのにも関わらず何も思わないのですか？
A君1	え〜、そんなに散らかってないし、まだまだ大丈夫だよ。
ロボット2	本も出しっぱなし開きっぱなしで、足の踏み場がないじゃないですか。
A君2	この方がすぐまた続きから読めるから便利なんだよ。
ロボット3	洋服も脱ぎっぱなしで山のようになっていて、いつ崩れるかわからない危ない状態ですし。
A君3	この方がすぐ着たい時に着れるから便利なんだよ。
ロボット4	引き出しも開けっ放しで、歩くたびにＡ君自身がぶつかってるじゃないですか。
A君4	でもこの方がすぐ引き出しの中の物が取りやすいから便利なんだよ。
ロボット5	テーブルの上のお菓子もまだ残ってるのに、そのままずっと放置してある状態ですし。
A君5	それは君の為に残してあげてるんだから食べて良かったんだよ。
ロボット6	そうだったのですか！ありがとうございます！
A君6	お礼はいいよ。
ロボット7	そうじゃなくて、話がそれるとこでした。
A君7	そらし作戦失敗した〜。
ロボット8	いい加減、私の言うこと聞いて早く片づけて下さいよ！
A君8	だ〜か〜ら〜、僕の生活が便利になるようにわざと散らかしているんだよ。
ロボット9	このまま片づけないで汚いままですと、虫が大量発生してＡ君病気になってしまいますよ。
A君9	それは困るなあ・・。
ロボット10	A君が病気になってしまったら、私はどうすればいいのですか・・ウッウッ。
A君10	う〜ん。
ロボット11	悲しすぎて私も壊れてしまいますよ・・。
A君11	君がが壊れたら僕も本当に困っちゃうよ。
ロボット12	片づけてくれますか？
A君12	ごめんね。今からちゃんと片づけるよ！
