ロボット1	お部屋が散らかってますよ。A君片付けましょう。
A君1	そんなに散らかってないよ。
ロボット2	そんなことありません。本がたくさん出たままですよ。
A君2	また読むからいいんだよ。
ロボット3	また読むならなおさら片付けた方が良いですよ。
A君3	何でだよ面倒だな。出しておいた方がすぐに読めるよ。
ロボット4	本当にそうでしょうか。いつも読みたい本を山積みの本の中から探すのに時間をかけているじゃないですか。
A君4	いいんだよ、それでも見つかるから。
ロボット5	その探す時間が勿体無いと思いませんか。
A君5	僕の時間なんだからいいじゃない。
ロボット6	しかし、その探す時間を本を読む時間に当てた方が有意義だと思いませんか。
A君6	でも、探す時間なんて大して時間かかってないじゃん。
ロボット7	いいえ。１つの探し物の時間は確かに短く感じますが、実は人は一年に150時間もものを探す時間をでも使っているのです。
A君7	え、そんなに時間あったらたくさん本が読めるね。
ロボット8	そうでしょう。だからしっかりかたづけて探し物の時間を減らしましょう。
A君8	でも、どうやって片付けたらいいかわからないんだ。
ロボット9	そうしましたら私が片付け方を教えて差し上げましょう。
A君9	うん、じゃあ教えて。僕にもできるかな。
ロボット10	もちろんです。それでは片付けましょう。
A君10	わかったよ、綺麗に片付けるよ。
