ロボット1	そろそろ部屋が汚くなってきたので掃除をしてください。
A君1	まだいいよ。そんなに汚れてないし。
ロボット2	至る所に埃がたまっています。
A君2	もうちょっとためてからするよ。
ロボット3	そんなことをしてたら彼女もできないですよ！
A君3	彼女ができたら掃除をしてもらうんだよ！
ロボット4	それに不衛生ですし、一生ここで私と埃にまみれて過ごすのですか？
A君4	うるさいなー！
ロボット5	その言い方も良くないですね！悲しいです。貴方のお母様が見たら泣きますよ。
A君5	昔は母さんがやってくれてたんだよ。そんなに言うなら君がやってよ！
ロボット6	私は貴方の生活を改善するためのロボットです。お掃除ロボットではありません。
A君6	それくらいわかってるよ！なんでそんなに掃除にこだわるんだ？
ロボット7	貴方が快適に生活を送るためです。
A君7	充分快適だけどね。
ロボット8	それにあなたのご両親も安心し、きっと喜んでくれるはずです。
A君8	わかったよ、やるよ！
ロボット9	本当ですか、嬉しいです！ありがとうございます！
A君9	なんで君が感謝するんだ？
ロボット10	貴方が快適に過ごせることが嬉しいからです！
A君10	おせっかいなロボットだな、ありがとう。
