ロボット1	A君、部屋の掃除をサボってる？
A君1	今はそんな気分じゃないんだ。
ロボット2	この前尋ねたときも、同じ事を言ってたよね。
A君2	面倒なんだよ。疲れててやる気が起きない。
ロボット3	ちょっと前までは沢山話しかけてくれたのに最近はさっぱりだよね。
A君3	お前から話しかけて来る事が増えたな。
ロボット4	A君は最近思い悩んでるみたいだから、心配なんだよ。
A君4	ロボットに俺の気持ちがわかるのか？
ロボット5	色々なセンサーが付いてるから、変化にはとっても鋭いんだ。
A君5	そういうもんかねぇ。
ロボット6	A君が沈んでる姿を見るのは僕も悲しいんだ。また一緒に遊んで欲しいよ。
A君6	今日はやたら喋るんだな、お前。
ロボット7	そうだよ、友達だからね。掃除、一緒にやらない？
A君7	今じゃなくても良いじゃん、後でやるからさ。
ロボット8	頭の中がごちゃごちゃしてるのは部屋のせいかもしれないよ。
A君8	確かに、それは一理あるかもしれないけどさ。
ロボット9	僕だって時々内部データの整理をしないと調子が悪くなるからさ。
A君9	はは、なんだよそれ。
ロボット10	きっと部屋の掃除をしたら、気分もスッキリすると思うんだ。
A君10	わかったよ、そんなに言うならやるよ。
