ロボット1	Ａ君そろそろ掃除をした方がいいと思います。
A君1	なんで？まだ大丈夫だと思うよ。
ロボット2	大丈夫じゃありません。この部屋の不快指数は70%ですよ。
A君2	でも僕が大丈夫って言ってるからいいじゃないか。
ロボット3	ですが、もし、ここにお客さんを呼ぶとどうなりますか？
A君3	そりゃちょっとは汚いなと思われるかもしれないけど……
ロボット4	でしょう？そのお客さんが女の子だとしたら？
A君4	引かれるか、片付けてくれるかかな……
ロボット5	片付けてくれるなんてそんないい子はなかなかいません。
A君5	いるかもしれないじゃん！
ロボット6	世論調査では約8割が引くになっています。
A君6	そうなの…？
ロボット7	ですからきちんと片付けて女の子を迎えましょう！
A君7	そうだよな……
ロボット8	僕だって綺麗な空間にいたいです。
A君8	結局はそこでしょ？！
ロボット9	綺麗な部屋の方が心もリラックスできるし、お客さんは呼べるし、いいことだらけですよ？
A君9	そうだよな……少しは片付けるか
ロボット10	ありがとうございます。私も綺麗な部屋にいれて嬉しいです。頑張りましょう！
A君10	うん！頑張るよ！
