ロボット1	部屋がかなり散らかっていますね。掃除をした方がよいです。
A君1	うーん。後でやるよ、
ロボット2	後でとは、正確には何分後でしょうか？
A君2	そんなのわからないよ。後でやるよ。
ロボット3	後でやるよという発言は何度も聞いています。何分後に開始するのか教えて下さい。
A君3	細かいね。今は掃除なんてする気分転換じゃないんだ。
ロボット4	しかし、散らかっていては身も心も堕落してしまいます。
A君4	大袈裟だよ。
ロボット5	大袈裟ではありません。掃除は、大切ですよ。
A君5	うるさいな。
ロボット6	最近、断捨離という言葉も流行っています。あなたも掃除をするといいでしょう。ツキを呼び込むかもしれませんよ。
A君6	わかったよ、片付けるから。手伝ってくれる？
ロボット7	私は片付け自体を手伝うことはできません。しかし、整理整頓のアドバイスをすることはできます。快適な部屋になるようサポートしますよ。
A君7	まずは何から始めたらいい？
ロボット8	まずはゴミ袋を用意してください。そしてダンボールを3つ用意してください。
A君8	わかった。
ロボット9	まずは床に置いたままのお菓子の袋などを捨てましょう。
A君9	次は？
ロボット10	要らないものも捨てましょう。
A君10	アバウトだな。
