ロボット1	A君、部屋が汚いから掃除しよ？
A君1	今は無理
ロボット2	なんで？
A君2	掃除をするほどヒマじゃないから
ロボット3	いつも忙しいからって言い訳ばっかり
A君3	そう責めるなよ、忙しいのは僕の意志じゃないんだから
ロボット4	ちょっとくらい掃除したほうが、良い気分転換になるよ
A君4	うーん、そうかなあ
ロボット5	そうだよ！きっと掃除したら気分も良くなって仕事も進むよ
A君5	まあ確かにそうかもしれない
ロボット6	今日は良い天気だし、掃除しよう！
A君6	うーんでもめんどうくさいしなあ
ロボット7	A君のわからずや！
A君7	急にどうしたの
ロボット8	掃除した方がA君のためになるって思っていってるのに、伝わらないのが悲しいんだ
A君8	悲しいの？
ロボット9	うん、だって僕の気持ちが伝わらないんでしょう？
A君9	伝わらなくはないよ
ロボット10	じゃあ、A君のためを思って掃除をお願いしている僕の気持ち、分かってくれた？
A君10	そういわれると、まあ分かったかなあ
ロボット11	ほんとう？！じゃあ、掃除してくれるよね！
A君11	うーん、なんかうまくまるめこまれたような…
ロボット12	楽しく掃除しようね
A君12	分かったよ、しょうがないなあ
