ロボット1	最近部屋が荒れてきたね・・・
A君1	そうかな
ロボット2	一緒に掃除してみない？
A君2	今度ね
ロボット3	今日は天気がいいから掃除にはいいと思うんだけど。
A君3	うーん。でも暑いじゃん。
ロボット4	掃除して綺麗になったところでシャワー浴びてクーラーかけたら気持ちいいんじゃない？
A君4	じっとしてた方が汗かかなくてすむよ。
ロボット5	じゃぁ、ジュースを冷凍庫にしまって、冷たくなるまで掃除してみたら？
A君5	全部やってたら凍っちゃうよ。
ロボット6	よく冷えておいしいじゃん！！
A君6	全部終わらないよ。
ロボット7	じゃぁ、一部分だけでもやってみようよ！！
A君7	一部分だけじゃ納得できないし。
ロボット8	全部やっても、ジュースは凍ってシャーベットになっておいしいかも！
A君8	そのころにはお昼ご飯だよ。
ロボット9	お昼ご飯までにお腹を空かせてみたら？
A君9	ご飯も作らなくちゃ。
ロボット10	思いっきり綺麗にしたら、おいしいピザをとって冷たいジュースと一緒に食べたらおいしいよ！
A君10	お金かかるし。
ロボット11	たまにはいいんじゃない？
A君11	何食べたいかなぁ。
ロボット12	時間がもったいないから、掃除しながら一緒に考えようよ！
A君12	うーん・・・そうだね。
