ロボット1	A君、そろそろ部屋の掃除が必要です。
A君1	まだそれほど汚れていないよ。
ロボット2	いいえ、一般的にはすでに掃除が必要な段階です。
A君2	僕はこの方が落ち着くんだ。
ロボット3	それは言い訳です。
A君3	そもそも散らかっているわけではないよ。すべて完璧な配置なんだ。
ロボット4	ではリモコンはどこにありますか？
A君4	あー、多分あの辺だろう。
ロボット5	いいえ、ここにあります。散らかっているからわからないのです。
A君5	そうか、やっぱり片付ける必要はないな。君に探して貰えばいい。
ロボット6	私は召し使いロボットではありません！
A君6	君は僕より探し物が上手なんだからやってくれてもいいだろう。
ロボット7	それは非常に無責任です。それでは赤ちゃん同然です。
A君7	それは言い過ぎだ。
ロボット8	いいえ、同じです。
A君8	僕はも大人だ。
ロボット9	ならそのように振舞ってください。
A君9	嫌だ。
ロボット10	いいですか？このまま行くと自分では何一つできなくなってしまいますよ。
A君10	だから赤ちゃんか？
ロボット11	もっと悪いかもしれません。できるのにしないのですから。
A君11	それはそうだけど・・・。
ロボット12	今に私があなたのオムツをかえるようになるのです。すべての世話を我々ロボットが行うようになるのです。人間はただ生きているだけ。
A君12	それは大げさだよ。
ロボット13	そうですか？ではあなたの子供は？孫は？このまま私たちにすべてを任せていたら、後々どうなっていくと思います？
A君13	確かに少し恐ろしいかもしれないね。
ロボット14	私たちのせいであなたたちがどんどん幼稚になっていく、それはあまりに辛いのです。
A君14	なるほど、わかったよ。確かにこの辺で歯止めをかけないと今後が怖いね。
ロボット15	そうです。私は自立した関係を望みます。お手伝いはしますがそれ以上はしません。
A君15	僕もそれを望むよ。
ロボット16	ではまず掃除をしましょう。未来のために。
A君16	そうだね。
