ロボット1	A君、部屋が汚くなってきたようだけど掃除をしたらどうだい？
A君1	面倒くさいよ。
ロボット2	うん、面倒くさいのはよくわかるよ。
A君2	じゃあ掃除はしない。
ロボット3	面倒くさがっているともっと散らかって後から余計に面倒になるぞ！
A君3	じゃあ君がやれば？
ロボット4	おい、僕はA君の生活改善のお手伝いをするためにいるんだぞ！
A君4	改善の余地はないということで良いじゃないか。
ロボット5	改善の余地だらけな散らかりようだから片付けようよ！
A君5	認識の違いだね。
ロボット6	A君の口達者には困って泣けてくるよ。
A君6	泣き落としは無駄だよ。
ロボット7	よう、男前のA君、掃除をしたら清潔感が増してますますカッコいいぜ？
A君7	そんなことがあるのかなぁ。
ロボット8	あるよ、さぁ、掃除で人生を変えようよ。
A君8	胡散臭いなぁ。
ロボット9	胡散臭いんじゃなくA君の部屋が臭いんだよ！
A君9	ところで僕って今日は何か用事があったっけ。
ロボット10	ガールフレンドが遊びに来ると言ってたけどこの部屋の汚さじゃ玄関にしかお通しできないね。
A君10	よし、ロボット君今すぐ掃除をして彼女を綺麗な部屋にお招きしようじゃないか！
