ロボット1	Ａ君、お部屋を掃除をしましょう。
A君1	え〜嫌だよ。面倒だよ。
ロボット2	見てください。ゴミが落ちていますよ。
A君2	後で掃除するからいいよ。今はしたくない。
ロボット3	そんなことを言っていると、どんどん部屋が汚れていきますよ。
A君3	だって、今はしたい気分じゃないんだよ。
ロボット4	そしたら、いつ掃除をしますか。
A君4	明日にしようかな。
ロボット5	そんなふうに言っていたら、どんどん部屋が汚れてしまいますよ。
A君5	大丈夫だよ。そんなに汚れていないから。
ロボット6	僕は、綺麗な部屋のほうが過ごしやすくて気持ちよくていいと思って言っているんです…。
A君6	それは、今しなくてもいいんじゃない。今はテレビ見たいしさ。
ロボット7	そう言って、いつも掃除をしないのはＡ君ですよ。
A君7	そうだけど。
ロボット8	だからこんなにゴミが落ちていて、部屋が汚れているんです。
A君8	まあ、確かに。
ロボット9	後でと言わずに今から掃除しましょう。僕が応援しますよ。
A君9	仕方ないな。掃除はじめるか。
ロボット10	やった。さすがＡ君。頑張りましょう。
A君10	おう。
ロボット1１	見てください。このぴかぴかな部屋。とっても気持ちがいいですよ。さすがＡ君ですね。
A君1１	俺はやるときは、やるんだよ。
