ロボット1	おはようA君。
A君1	おはよう。
ロボット2	A君は最近外に出て運動をしていないよね？
A君2	そうかな？だとしても家の中は歩いているんだから運動してるよね？
ロボット3	家の中だけ歩いたんじゃ運動とは言えないのですよ。
A君3	外に出て運動するという事？
ロボット4	そうです。ボール遊びや何か道具を使ってもいいです。
A君4	僕はねボール遊びは嫌いなんだ。
ロボット5	じゃあ道具無しのジョギングをしましょう。
A君5	ジョギングは苦しい。
ロボット6	そんな嫌いだとか苦しいとか言わないで。マイナス思考の言葉は使用禁止だからね。
A君6	だけど、ジョギングなんて暑いしやだよ。外で運動なんて昼間は無理。朝は眠いし夕方は蚊にさされるじゃない。
ロボット7	いいですかA君。冷房の効いた部屋で朝から晩まで暮らしていると体力がなくなるんですよ。
A君7	今は夏休みだし学校が始まったら体育もやるから平気だよ。
ロボット8	その体育をやる前に体力づくりをしておかなければいけません。
A君8	そうかなあ。君は先見のめがあるね。
ロボット9	A君が後で体力的に叶わない事があったら悲しいです。だから今はジョギングで体力をつけてください。
A君9	そうかあ。毎日コツコツ体力をつけておくことが大事なんだね。
ロボット10	A君わかってくれてありがとう。僕はうれしいです。
A君10	さあ。ジョギングに行こう。
