ロボット1	体がなまっているでしょう
A君1	そうかもね
ロボット2	外で少しジョギングしましょう
A君2	えーいやだなぁ
ロボット3	なぜですか
A君3	面倒くさいししんどいじゃない
ロボット4	でもそのままでは、体が悪くなりますよ
A君4	わかってはいるけどね
ロボット5	ではなぜやらないのですか
A君5	同じ返しになるよ
ロボット6	生活を正したくて私を使っているでのしょう？
A君6	そうだけど
ロボット7	では私のアドバイスは聞き入れてくださいよ
A君7	なんでもかんでも言うこと聞くのはちがうだろう？
ロボット8	あなたの生活データをきちんと分析した上で言っているんです。
A君8	へー
ロボット9	それでも私の意見が間違っているなら私は電源がONである必要ありませんね
A君9	それは困るよ
ロボット10	ジョギングが一番手っ取り早くできて運動量も高いのです。やりましょう
A君10	手っ取り早いってどこで覚えたんだ。
ロボット	それだけあなたと生活しているということです。
A君	わかったよ、じゃあ着替えて走りに行くよ。
ロボット	ありがとうございます。走るのに最適な音楽を用意します
A君	ありがとう
