ロボット1	最近体重計のった？
A君1	のってないよ〜。
ロボット2	ちょっと太ったんじゃない？一度、はかってみたら？
A君2	え〜嫌だよ。めんどくさいし、最近食べ物おいしいから、自分でもいちいちのらなくてもわかってるよ〜。
ロボット3	１日１０分でもいいから、ジョギングして痩せようよ〜。
A君3	めんどくさいっていってるじゃん。やっても３日ぼうずになるよ。
ロボット4	やってみなくちゃわからないじゃん。やろうよ。
A君4	一人でやれば〜俺はいいや。
ロボット5	昔、君が気に入ってよく着ていたあの洋服、最近着ていないね。
A君5	あ〜あれね。少しウエストがきつくなったんだ。気に入ってたんだけど、もう捨てるしかないよね。限定品なのにもったいないなあ。
ロボット6	なんで捨てるんだよ。気に入ってたんだろう。君にとても似合っていたのに。
A君6	そんなに、似合っていた？
ロボット7	すごく似合っていたよ。それにあの服は君が初めてバイトして買ったものじゃないか。
A君7	そういえばそうだったな〜。あれが欲しくてバイト始めたんだっけ。思い出深い服だよな。
ロボット8	そうだよ。少しきついぐらいなら、少し痩せればまた、きっと履けるようになるよ。
A君8	そうだよな。捨てるのもったいないよな。
ロボット9	そうだよ。君があの服をもう一度着てる姿、僕見たいよ。
A君9	ジョギング、はじめてみるか。君のおかげであの服、もう一度着たくなったよ。
ロボット10	本当、うれしいよ。僕も協力するから一緒に頑張ろう。
A君10	うん、頑張ろう。ありがとうな。やる気にさせてくれて。よし、さっそく今から走ろう。
