ロボット1	A君、運動した方が良いですよ。
A君1	なんで？
ロボット2	ずっと家にいては、運動不足になってしまいます。
A君2	いいじゃん。運動不足で何が悪いの？
ロボット3	運動不足になると、病気になったり、体が弱くなってしまいます。
A君3	病気になったことないから今の生活で大丈夫。
ロボット4	これからもずっと家にいるのですか？今は大丈夫ですが、将来大きな病気になるかもしれないんですよ。
A君4	いいもん。病気になったってお前には関係ないだろ？
ロボット5	いいえ、そんなことありません！A君が病気になったら私がどれだけ悲しいことか。
A君5	放っておいてよ。悲しいのはお前だけなんだろ？
ロボット6	違います！A君のご両親やお友達も悲しい気持ちは一緒です。
A君6	でも僕には関係ないから。
ロボット7	聞き分けがつかない子ですね！私は怒ってるんですよ！
A君7	だって、外に出てもやることないじゃん。
ロボット8	そんなことありません。外にはたくさんのお友達がいるじゃないですか。
A君8	違うよ？みんな家でオンラインゲームをしているんだ。だから僕も家にいたい。
ロボット9	あぁ、もう。こうなったらA君のお友達を外に呼び出すしかないですね。ほら、A君も一緒に外へ出かけましょう。外は楽しいですよ。
A君9	えー、でもー。
ロボット10	ほら、ぐずぐずしないで。準備してください。
A君10	わかったよ、ちょっと準備するから待ってて。
