ロボット1	君は運動が足りないからジョギングをしなければいけないよ
A君1	ジョギングなんか面倒くさい。嫌だよ
ロボット2	ぼくも一緒に走るから
A君2	そんなこと言ったって無駄だよ
ロボット3	どうしてだい？！ぼくは君を想って言っているよ！
A君3	ごめんよ。急にどうしたの
ロボット4	君を想って言っているのにそんな返事はぼくは悲しくなるし怒りもする
A君4	君が怒るなんて珍しい…
ロボット5	君を何とも想っていなかったらぼくは無感情だよ
A君5	ぼくをそんなに想ってくれてるのかい…？
ロボット6	そのまま運動不足でいると君の体は壊れてしまうんだ
A君6	今は大丈夫だよ
ロボット7	今は良くても、ぼくは君の先のことを考えているんだよ
A君7	そんな先のところまで…？
ロボット8	君が将来もずっと健康な体でいることがぼくの願いなんだ
A君8	そこまで考えていてくれているんだね
ロボット9	今が将来につながるから今もちゃんと運動をして健康であってほしいんだ
A君9	今もすごく大事なことなんだね
ロボット10	そうさ。今があるのも過去があったから君があるんだろう？
A君10	そうだね。ぼくジョギングするよ、一緒に走ってくれるかい？
