ロボット1	そろそろ運動の時間です。
A君1	えー…今日はちょっと家で寝ていたいよ。
ロボット2	「寝たい」という言葉をこの三日間で15回聞きました。
A君2	え、そんなに言ってたの？
ロボット3	はい、Aさんはよっぽどねぼすけさんなのですね。
A君3	そんなことないけどさー…。
ロボット4	でしたら、起きてください。
A君4	嫌だなー動きたくないなー。
ロボット5	そんなことを言うと、Aさんのお母さんに言いつけてしまいますよ。
A君5	うわ、それは勘弁して！
ロボット6	では、運動をしましょう。
A君６	ちょっと待って待って。
ロボット7	どうしましたか？
A君7	まだ着替えてないんだよ。
ロボット8	わかりました。でしたら、着替えが終わりましたら「準備できた」と言ってください。
A君8	ありがとう。…準備できたよ。
ロボット9	はい、お待ちしておりました。ちなみに今日のプログラムはジョギングが３セットです。
A君9	げっ、走るの嫌だなー…やっぱり寝てちゃダメ？
ロボット10	だめです。Aさんは今日までジョギングもウォーキングも頑張っていて、あと32㎞で1,000㎞達成ですよ。
A君10	ほんとに？じゃあ、頑張っちゃおうかな。
ロボット11	はい、一緒に頑張りましょう。
A君11	うん！
