ロボット1	Ａさん、運動不足のアラームが出ています。外へ出てジョギングしましょう。
A君1	えー、めんどくさいよ。
ロボット2	そんなこと言わずに、さぁ。行きましょう。
A君2	明日からがんばるもーん。
ロボット3	もう。昨日もそう言っていましたね。私、覚えてます。
A君3	うるさいなぁ、ロボットのくせに。
ロボット4	がーん！ロボット、悲しい・・・。
A君4	お前は機械なんだから、感情なんてあるわけないだろ。
ロボット5	そうですね、私は機械。だけど、Ａさんにそういわれて、私、今、とても悲しい。
A君5	おいおい、お前、泣いているのか？
ロボット6	ロボットだって悲しいときは泣きます。
A君6	わ・・・悪かったよ。今までずっと心配してくれていたもんな。
ロボット7	ええ。Ａさんのこと、私いつも心配しているし・・・
A君7	心配しているし？
ロボット8	Ａさんのことが大好きだから。
A君8	ええ！？そんなに想っていてくれたのか？
ロボット9	はい。だから、Ａさんにはいつも元気でいてほしい。
A君9	ロボット・・・。
ロボット10	はい！じゃあ今から、運動しましょうね！
A君10	結局そこに落ち着くんだな・・・。
