ロボット1	今日はいい天気ですね、外に出てジョギングをしましょうよ。
A君1	嫌だよ疲れる。
ロボット2	適度な疲れは気持ちいいですし健康にもいいですよ。
A君2	君は指示する立場だから気楽に言えるだろうね。
ロボット3	私は走れないので羨ましくてたまりません、走って感想を聞かせてくださいよ。
A君3	話したってあの辛さはわかりっこないよ。
ロボット4	ゴール地点で待っていますから！楽しみだなあ。
A君4	転んで怪我をしたらどうするの。
ロボット5	適切なウェア、シューズを履きましょう。
A君5	完全には防げないでしょ。
ロボット6	そうやってリスクの事ばかり考えて情けない・・・
A君6	考えなしよりいいよ。
ロボット7	この先も一生彼女のかわりに私がお世話するのですね。
A君7	どういう意味だよ。
ロボット8	だから運動もしなければうじうじ言い訳してモテないですよって言いたいんです！
A君8	走ったっていいことなんかないよ。
ロボット9	いつも公園の近くを走っているお姉さんに今日も会えるかしら。
A君9	何その情報。
ロボット10	すっごく美人で明るいお姉さんですよ！会いたいなあ。
A君10	今日から公園をジョギングする日課、作るよ。
