ロボット1	A君、ジョギングしましょうよ！
A君1	嫌だ。
ロボット2	ウォーキングでもいいですよ！
A君2	疲れてるんだよ。動きたくないよ。
ロボット3	今日は何もしていないじゃないですか。
A君3	昨日の疲れがたまってるんだよ。
ロボット4	A君は本当に言われたことを何もしない人ですね。
A君4	うるさいな、黙れ。
ロボット5	あなたのようなぐうたら人間にはうんざりです!
A君5	ロボットに言われたくないよ。
ロボット6	怒られるのは私なんですよ！
A君6	ロボットは怒られたって平気だろ。
ロボット7	いいえ、私だって怒られると悲しいんです。
A君7	運動はしんどいんだぞ？
ロボット8	でも健康にはいいです。
A君8	僕は不健康かな。
ロボット9	血糖値が上がっています。体脂肪率も適正範囲を越えています。
A君9	ロボットは動かなくていいからいいよな。
ロボット10	そんなことはありません。人間は自由に動けて、羨ましいです。
A君10	羨ましいのかい?
ロボット11	自由に歩けて、走れて、跳び回れるのは、素晴らしいことだと思います。
A君11	しょうがないな、じゃあ君の代わりに運動してやるよ。
