ロボット1	さあ、今日のメニューの腹筋50回を始めましょうか。
A君1	え、もう少し後からにしない？
ロボット2	その言い訳は一昨日伺いました。
A君2	じゃ、今日はスクワットにしない？
ロボット3	スクワットがお好きなようですが、それではバランスの取れた体つきにはなりません。
A君3	だって、背筋の方が付きにくいよね。
ロボット4	背筋は付きにくいですがら腹筋はすぐ落ちますよ。
A君4	だからって、メニューに腹筋ばかり多くない？
ロボット5	自分で計画的に出来ないからロボットにやらせてるんじゃないですかね？
A君5	え、何か上から言いますな。
ロボット6	上も下もありません。平等に平滑に作られてますから、私。
A君6	何か、口喧嘩しても負けそうだから、腹筋50回やりますよ。
ロボット7	最初から素直にやってください。
A君7	はい、はい。
ロボット8	1、2、3、、、、20。
A君8	ちょっと休まない？
ロボット9	やる気、あります？まだ掃除が残ってるんですよ、私。
A君9	お掃除ロボットかよ？？
ロボット10	万能で兼用とおっしゃっていただきたいです。
A君10	嫁じゃなくて良かった。キミ、なかなか優秀だね。
