ロボット1	運動するのは嫌ですか？
A君1	嫌だよ、正直面倒だもの。
ロボット2	このままだと1年半後に90%の確率で働けなくなります。
A君2	それあくまでも確率でしょ？
ロボット3	はい。
A君3	もし働けなくなったら、君に働いてもらおっかな。
ロボット4	いや、そこまで僕は賢くないんです、すいません。
A君4	あら、残念。
ロボット5	何かあったら困るから、僕を買ったのでしょう？
A君5	ああ、うん、まぁ…ね。
ロボット6	今がその時なんです！！
A君6	え、なしたの？
ロボット7	僕が働く時なんです！！あなたの健康のために心を鬼にして言います。運動しましょう。
A君7	ロボット、心を鬼にしちゃうんだ…。こわい。
ロボット8	いつもお忙しそうにしていますからね、無理のない範囲でこのようなスケジュール、内容なら可能だと思います。いかがですか？
A君8	確かにこれならできるっちゃあできるけど。
ロボット9	やった！仕事ができた！
A君9	しかたない…やってみるか。
ロボット10	はい、さすがに今日からとは言いません。明日からスタートしましょう。楽しみですね。
A君10	うん、頼んだよ。
