ロボット1	おはよう もう、走ってきたの？
A君1	面倒くさいから走るのやめた。
ロボット2	どうして
A君2	マラソンとかきついじゃん疲れるだけだし
ロボット3	情けないな、そんなお腹じゃ、彼女もできないぞ！
A君3	彼女は欲しいけど、きついのはもっと嫌だ。
ロボット4	もし、彼女がいるとして体を鍛えてる人が好きとか言ったらどうする。ほかの男に取られでもしたらどうなる。
A君4	それは嫌だ、でも、走りたくない。
ロボット5	そうかいそうかい、そんなに嫌ならA君の未来はこうなります。
A君5	どうなるの？
ロボット6	運動をしないので体がどんどん丸くなり、体重も増えて病院通いになります。彼女なんてできません。そして、私からも見放されます。
A君6	そんな事言うなよ。
ロボット7	楽しても体は鍛えらません。
A君7	分かった。少しでも頑張るよ。
ロボット8	短い距離から走って、慣れてくれば距離を伸ばせば良い。
A君8	そうだよな。徐々に距離を増やしていけば良いんだよな。
ロボット9	簡単でしょう。出来そうだね。
A君9	俺、頑張るよ。
ロボット10	そう言ってもらえて嬉しいです。私も全力でサポートします。
A君10	よろしくな。
