ロボット1	A君、ジョギングの時間だよ。
A君1	うーん、そうだね。
ロボット2	さあ、ジャージに着替えて。
A君2	もう少ししてからね。
ロボット3	だめだよ、さっきもそう言ったじゃないか。
A君3	そうだっけ？ふあ〜。
ロボット4	さあ、ジャージに着替えるんだ。
A君4	今日は他にやることがあるから、中止にしない？
ロボット5	ダメだよ、今日ジョギングしないと今までの運動の実績がリセットされちゃうよ。今までもあんまり真面目にできてなかったけど、リセットにならない程度には続けてきたんだから、頑張ろうよ。
A君5	う〜ん・・・
ロボット6	ね、ジョギング行こう。
A君6	リセットになってもいいよ。そんなのデータの上でのことだけだもん。明日からまたジョギングするよ。
ロボット7	君はどうしてそうなんだ。運動は継続が大事なんだぞっ。
A君7	そうはいってもさ…。
ロボット8	君の体が運動不足だってことはデータではっきりしてるんだ！君には週3回以上の運動が必要なんだ。それが先々々週は2.8回、先々週は週2.5回、先週は2.3回しか運動してないんだ。このままじゃ、君は、きみは。。。。うわ〜ん！！
A君8	な、何も泣くことないだろ。そんなに興奮するなよ。
ロボット9	だって、このままだと君は、あと２年で何らかの健康障害におそわれる可能性がある！！
A君9	えっ、2年で…？
ロボット10	高血圧か糖尿病、もしくは脂質異常。ひどい時には脳梗塞！その確率はほぼ９９．９％。残りの0．1％は2年以内に交通事故などで事故死した場合なんだ。2年以内に病気以外の原因で死んじゃったら、病気にかかることはできないから…。うわ〜ん、うわ〜ん。
A君10	わかったよ。ジョギングに行くよ…。
