ロボット1	ご主人様、今日はそろそろジョギングにでも出かけませんか？
A君1	いや、今日はやめておくよ。
ロボット2	そんなこと言わずに、ほら、あまり動いていない日には少しづつでもジョギングするって昨日私と約束したばかりじゃないですか。
A君2	いや、何か今日は気乗りしないんだ。
ロボット3	またそんなことを言って・・・今日は一日中家の中でゴロゴロしていただけじゃありませんか。
A君3	今日は暑かったから体がだる重いんだよね。
ロボット4	もう日が暮れて涼しい風も出てきたみたいですよ。
A君4	あっ、今夜は見たいテレビがあったんだ！
ロボット5	そんなの録画しておけばいいじゃありませんか。
A君5	リアルタイムで見るからいいんだよ。
ロボット6	ご主人様、あなたはいつもそうやって私を困らせるのですね。
A君6	そんなことはないだろう？
ロボット7	いいえご主人様、あなたにはもはや私は必要ないということですね。
A君7	どうしてそうなるんだよ。
ロボット8	私の使命はご主人様を不健康な生活から救い出すことですが、私の勧めに一向に耳を傾けていただけません。
A君8	耳は傾けてるよ。
ロボット9	こんなに毎日ご主人様に尽くしているというのに、全く情けなくて悲しくなってしまいます。
A君9	そんなオーバーな。
ロボット10	いいえ、ご主人様を思っている私の願いを全く聞き入れていただけないということは私に対する愛情がないということです。
A君10	いやいや僕が健康的な生活習慣に戻れるよう、あれこれ気にかけてくれていつも君には感謝しているよ。
ロボット11	言葉でいくらそう言われても行動が伴わないと全く信用できませんね。
A君11	信用してくれよ。
ロボット12	お世話になりましたご主人様。
A君12	それはないよ、せっかく仲良くなってきたところじゃないか。
ロボット13	私は行動で示していただくのが好きなのです、ご主人様。
A君13	わかったわかったよ、今からジョギングしてくるよ。
ロボット14	本当ですかご主人様、嬉しいです、とっても嬉しいです。
A君15	まいったな。
