ロボット1	Ａ君そろそろ運動を始めた方がいいよ。
A君1	体調が悪いから無理だよ。
ロボット2	ウソだ。本当はゲームがしたいからなんでしょ？
A君2	そんなことないよ。本当に体調が悪いんだ。
ロボット3	じゃあ、いつからやるんだい？
A君3	う〜ん、来週からかなあ。
ロボット4	そうやって今までもしてこなかったじゃないか！
A君4	そんなことないよ。体調が良くなったらやるよ。
ロボット5	じゃあ、いつになったら体調が良くなるんだい？
A君5	だから、来週だって！
ロボット6	そんな心構えじゃだめだ。僕はＡ君のことを心配して言ってるんだよ！
A君6	わかってるよ！でも体調が悪いんだからしょうがないじゃないか！
ロボット7	しょうがなくない。Ａ君は本当はわかってるんだろ？
A君7	まあね。
ロボット8	君はあの子にもう一度告白するんだろ。
A君8	うん。
ロボット9	だったら、すぐにでも始めるべきだよ。
A君9	そうだね。
ロボット10	運動する気になった？
A君10	ああ…、僕やるよ！
ロボット11	本当？約束だよ？
A君11	ああ！約束さ！
ロボット12	ありがとう！Ａ君！
A君12	僕の方こそ、目が覚めたよ！ありがとう！
