ロボット1	最近運動不足みたいですね、健康のために外へ出てジョギングしましょうよ！
A君1	え〜、嫌だよ、暑いし、面倒くさい。
ロボット2	そんなこと言わないで、自分の体のためなんですから。
A君2	ジョギングなんてしたことないし、疲れてるんだよ。
ロボット3	適度な運動は疲労回復にも効果がありますよ。
A君3	疲労回復なら、こうしてゴロゴロしてた方がいいよ。
ロボット4	ボクはあなたの体を心配して言ってるんですよ。
A君4	おおきなお世話だ。
ロボット５	将来生活習慣病にでもなったらどうするんですか！？
A君5	なったって、いいよ！
ロボット6	糖尿病、心臓病、がん・・・将来Ａ君がそんな病気になりでもしたらと思うと、ボクは心配で夜も眠れません！
A君6	ロボットなんだから、寝なくたっていいだろう。
ロボット7	そのうちブクブク太りだして、きっとA君にはお嫁さんも来てくれないに決まってる。
A君7	おい、話が飛躍しすぎだろう。
ロボット8	ああ、人生の伴侶もみつけられず、孤独と持病を抱える中年のA君を寂しく見守るしかないなんて。
A君8	そうなるとはかぎらないだろ！
ロボット9	ご主人に運動習慣ひとつ身に付けさせられない、ボクはダメなロボットだ・・・。
A君9	な、泣くなよ！
ロボット10	ボクみたいな役立たずは、いっそスクラップになったほうがいいんだ！
A君10	わ、分かったよ、ジョギングでもなんでもするよ！
