ロボット1	外に出てジョギングしてください。
A君1	えー、やだよ、面倒くさい
ロボット2	A君の現在の生活は、非常に運動不足だと思われます。運動しましょう。
A君2	うん、運動が良いのはわかってるけど、そんな時間ないし面倒くさいよ。
ロボット3	せっかく私と一緒に暮らしているのにA君を不健康な状態にさせておくわけには参りません。
A君3	だから他の方法ないの？もっとラクで手間のかかんないやつとか。
ロボット4	そうですね、食生活に留意することなども必要ですが、適度な運動は健康維持の為に欠かせません。
A君4	だからってジョギングはないわ。運動苦手だし
ロボット5	マラソン大会ではないのですから、A君のペースで適当に走れば良いだけですよ
A君5	適当にって、もっとちゃんと指導してくれないの？
ロボット6	1度試しにやってみたらどうでしょうか。
A君6	試しに、ねぇ。
ロボット7	運動をすれば、爽快感を味わう事ができて続けてやろうって思うかなって。
A君7	お前、ちょっと考えが安直すぎるよ。俺はそんなにお手軽じゃない。
ロボット8	でも、A君の健康の為なのですよ。人間は運動をしないでいると、肥満にはじまり、高血圧、糖尿病などの病気にかかるリスクが高くなるというデータもあるのですよ。
A君8	うんうん、そうだね。それは分かってるんだって。でも無理な物は無理。
ロボット9	……そんなに私の言うことが聞けませんか？
A君9	え？
ロボット10	A君がこのままの生活を続けて健康を損なうことがありましたら、私がここにいる意味がありません！
A君10	まぁ、それはそうだな。
ロボット	そうなると、私はスクラップにされてしまいます。鉄くずにされてしまいます。燃えないゴミとしてばらばらにされてしまいます！
A君	ちょっと、落ち着けよ。そんなことは俺がさせないから！
ロボット	でも、A君の生活を改善する事ができなければ私の存在意義はないのです。いいんです、そうされるのが当たり前だと言うことは理解しております。
A君	も〜、分かった分かった、運動すれば良いんだろ。
ロボット	してくれる気になってくれたのですか！
A君	ウェアとかないから、また買いそろえたら始めるよ
ロボット	大丈夫です！形から入るA君の事ですから既に準備してあります！ささ、こちらをどうぞ。
A君	……準備よすぎだろー。
