ロボット1	ジョギングの時間です。
A君1	今日はしないよ。
ロボット2	理由をお答えください。
A君2	面倒だから。
ロボット3	許諾不可能です。
A君3	そんなの知らないよ。
ロボット4	「同じ時間にジョギングする」と私に設定したのは、Ａ君です。
A君4	じゃあ、その設定を解除するよ。
ロボット5	一度設定を解除すると、二度と同じ設定はできなくなります。
A君5	それでいいよ。
ロボット6	今回の設定を解除すると、通算設定解除数は１０回となります。
A君6	それで？
ロボット7	設定解除の回数が多すぎます。
A君7	そうかなあ。
ロボット8	Ａ君のジョギングの記録は、全て私の中にあります。タイム、フォーム、脈拍、血圧、ジョギング時の天候などです。
A君8	だから？
ロボット9	それらを全て記録するようにと仰ったのは、Ａ君です。毎日ジョギングすることは努力の積み重ねであり、それが、今後のモチベーションになるからと。しかし、今回、１０回目の設定解除を行うならば、今までの努力の記録は、全て消去されます。
A君9	残すことはできないの？
ロボット10	できません。それでもよろしければ、どうぞ、私の中にある「Ａ君の努力の記録」を消去してください。
A君10	……分かったよ。ジョギングシューズ、持ってきて。
