ロボット1	そろそろジョギングに行く時間だよ
A君1	まだ外は暑いよ。涼しくなってからにしようよ
ロボット2	近所を少し走るだけだから、今すぐ行こうよ
A君2	走るにはまだ暑すぎるとおもうけどな
ロボット3	のんびりゆっくり走れば、そんなに暑くないよ
A君3	こんなに暑い中走ったら、身体に悪いよ
ロボット4	あまりにも体を動かさないままのほうが、体に悪いに決まってるだろ！
A君4	それなら、あの近所のネットカフェに寄っても良いなら、今すぐ行くよ
ロボット5	まあ、少し寄るだけならいいよ
A君5	やったー。甘いジュースを飲みたかったんだ
ロボット6	健康的な野菜ジュースにした方がいいよ
A君6	ココナッツジュースが飲みたいんだ
ロボット7	あんまり体に良くないんじゃないの？
A君7	たまにはいいじゃない
ロボット8	僕は君の健康を心配しているんだよ
A君8	どうしてもココナッツジュースを飲んじゃいけないなら、ジョギングは行かないよ
ロボット9	しょうがないなー。じゃあココナッツジュース飲んできていいよ。でもジョギングは今すぐ行ってね
A君9	じゃあ行ってくるね
ロボット10	いってらっしゃい
A君10	いってきます
