ロボット1	おはようございます！本日はジョギングに出かけて、運動不足を解消しましょう。
A君1	休日くらい休ませてくれよ。
ロボット2	平日はお忙しく時間が取れないので、休日に行うとお約束したはずですが。
A君2	そんな事を言ったって、疲れているんだからしょうがないだろ。
ロボット3	部屋に篭っていたって疲れは取れませんよ。外の空気を吸いに行きましょう。
A君3	ロボットのお前に何が分かるんだよ。
ロボット4	現在の生活を改善する事であなたがより健康で快適な暮らしを得られる事を、よく分かっていますよ。
A君4	どうせ人間の気持ちなんて分からないんだから、放っておいてくれよ。
ロボット5	私は生活指導をする為に、あなたから呼ばれてここにいるのに！
A君5	こんなにうるさいロボットだとは思わなかったな。
ロボット6	そんな言い方はあんまりです！
A君6	何を怒っているんだよ。
ロボット7	ロボットだって、自分の存在価値を否定されたら悲しいのですよ。
A君7	…、悪かったよ。
ロボット8	分かって貰えて嬉しいです。さて、話を本題に戻しましょう。
A君8	やっぱり、そうくるか。
ロボット9	あなたも、今の生活を変えたいからこそ私を呼んでくれたのでしょう？
A君9	それはそうなんだけれど、いまいち気持ちが乗らないんだよな。
ロボット10	それなら、まずは一緒にお散歩に行きましょう。
A君10	散歩？
ロボット11	体を動かしているうちに、気持ちも乗ってくるはずですよ！ご一緒します。
A君11	そんなもんなのかな。行ってみるか。
