ロボット1	ジョギングに行きましょう。
A君1	今日は疲れたからまた明日ね。
ロボット2	昨日も同じことをおっしゃっていました。
A君2	昨日も疲れていたからね。
ロボット3	疲れていらっしゃるのはわかります。毎日お仕事頑張っていますよね。
A君3	うん。
ロボット4	でも、毎日毎日疲れたとおっしゃるのですね・・・。
A君4	そうだね・・。
ロボット5	A君は何に疲れているのでしょうか？人間関係？仕事自体？
A君5	両方かな。
ロボット6	毎日そのような環境におかれては、体にも心にもストレスが溜まってしまいます。
A君6	じゃあどうすればよいの？
ロボット7	体の面は、ジョギングを始めればよいのですよ。
A君7	でも、疲れている体に鞭を打つなんて嫌だよ。
ロボット8	鞭を打つのではありません。むしろ飴になるはずですよ。
A君8	そうかな。
ロボット9	そうですよ。やらなければならないわけではなく、たとえばちょっと外の空気を吸いに行こうという気持ちで。
A君9	走ろうと思うからいやだなと思っちゃうんだもんね。
ロボット10	はい。気分転換に外に出るんだという気持ちでやってみましょう。
A君10	うん、わかったよ。ありがとう。
