ロボット1	A君、そろそろジョギングに行く時間だよ。
A君1	嫌だよ、めんどくさいから今日は無しにしよう。
ロボット2	そう言ってもう3日もさぼっているよ。
A君2	外は暑いし嫌なんだ。
ロボット3	今日もさぼってしまうと、A君が病気になるリスクが15増えるんだ。
A君3	明日から再開すれば大丈夫さ。
ロボット4	病気になるリスクを増やすことは簡単だけど、減らすことはすごく大変なんだよ！A君が病気にならない為に、僕が存在しているのに。
A君4	う〜ん…明日じゃだめなの…？
ロボット5	A君が病気になっちゃったら、僕とっても悲しいなぁ…病気になって、死んじゃったら、もうA君とお話しすることもできないもの。
A君5	僕、死にたくないよ。
ロボット6	じゃあ、頑張ってジョギングに行こうよ！二人で一緒にやれば楽しいよ！
A君6	しょうがないなぁ…行くか。
ロボット7	やったぁ！ありがとう！これで、A君と過ごせる時間ももっともっと長くなるよ。僕はとっても嬉しいよ。
A君7	運動すれば、長生きできるってことなの？
ロボット8	それはそうさ！ジョギングや他の運動を頑張れば、病気のリスクを少しずつだけど減らすことができるからね。
A君8	僕、長く生きたいよ。君は、僕の健康を僕以上に考えてくれているね。
ロボット9	それが僕の役目だからね。
A君9	それだけじゃないよ。君がここに来てから、なんだか家の雰囲気も明るくなったよ。
ロボット10	本当に？A君の健康管理以外にもお役に立てているなんて、ありがたいよ。
A君10	こちらこそいつもありがとう。明日からは、毎日運動するように努力するよ。
