ロボット1	最近運動してないですね、ジョギングに行って下さい。
A君1	暑いし面倒だから嫌だよ。
ロボット2	運動して汗をかくと気持ちが良いですよ。
A君2	汗かいたらベタベタして気持ち悪いよ。
ロボット3	そんなことないですよ、冷たいシャワーを浴びたらさっぱりしますよ。
A君3	いいよ、シャワーも面倒くさいもん。
ロボット4	運動しないでゴロゴロしてると体力落ちますよ。
A君4	落ちたって良いよ。
ロボット5	体力落ちたら皆で遊んでても1人だけ疲れちゃって、一緒に遊べなくなりますよ。
A君5	家で遊べば良いじゃないか。
ロボット6	家にばかり居たらつまらない奴だと思われて、段々誘われなくなりますよ。
A君6	そんなこと…ないと思うよ。
ロボット7	すぐ疲れちゃって外で遊べない友達なんて一緒に居て何が楽しいんですか、全然楽しくないですけどね。
A君7	じゃあどうすれば良いの？
ロボット8	体力つけるためにジョギングに行って下さい。
A君8	ジョギングすれば体力つくの？
ロボット9	はい、有酸素運動は効果的ですよ。
A君9	じゃあ行ってくるよ。
ロボット10	分かってもらえたなら嬉しいです、いってらっしゃい。
A君10	はーい、行ってきます。
