ロボット1	ゲーム開始から2時間が経過しました。
A君1	まじか。
ロボット2	まじです。ゲームを終了してください。
A君2	いまめっちゃいいところなんで。
ロボット3	ゲーム開始から2時間が経過したので、ゲームを終了してください。
A君3	つぎセーブしたら終わるから。
ロボット4	これ以上ゲームを続けると、A君の健康によくありません。
A君4	ですよね。
ロボット5	そうです。
A君5	セーブしたら終わるから。
ロボット6	では、はやくセーブして直ちにゲームをやめてください。
A君6	セーブってね、どこでもできるってもんじゃないんだよ。
ロボット7	ゲーム開始から2時間が経過したので、セーブしてゲームを終了してください。
A君7	何回言うんだよ…わかったから黙って下さい。
ロボット8	A君の健康を考えて何回も言っています。
A君8	ありがとうございます。
ロボット9	A君が不健康になったら悲しむ人は大勢います。
A君9	ですよね。ありがたいね。
ロボット10	私もその一人です。
A君10	一人って…
ロボット11	私はA君が不健康になったら悲しむ1人です。
A君11	ありがとう。
ロボット12	あなたが不健康になったら、私は悲しいのです。
A君12	わかった。もうやめるから。ありがとう。
