ロボット1	A君ゲームのやりすぎです。そろそろ終わりにしましょう！
A君1	このステージが終わるまで待っててくれよ。
ロボット2	ダメです！その言葉はさっきも聞きましたよ！
A君2	ここで消したら今までの苦労が水の泡なんだ。頼むよ。
ロボット3	わかりました。それでは強硬手段に出ましょう。
A君3	ん？何をするんだ。
ロボット4	A君がゲームばかりで学業が疎かになったから点数の下がったテストを用意しました。
A君4	あれ？それは確かに捨てたはずなのに……
ロボット5	私の目をごまかそうとしても無駄ですよ。
A君5	やばい。これだけは本当お母さんには内緒にしててくれよ。
ロボット6	それでは、私の言うことが聞けますね？
A君6	うん、わかったよ。ゲームはこれまでにするから。
ロボット7	その言葉が聞きたかったのです。やればできるじゃないですか。
A君7	君の脅し方がすごいからだよ。どこでそんなこと覚えてきたんだい？
ロボット8	A君の好きな落語のCDを拝聴しました。これまた傑作でして面白かったですよ。
A君8	へー、ロボットでも笑えるんだな。
ロボット9	そりゃ笑えますよ。A君のうまい懲らしめ方をたくさん知ることができるのですから。
A君9	ブラックな笑いだったんだ……
ロボット10	これからついでに落語の勉強会でもやりますか？
A君10	君には到底かないそうにないよ。
