ロボット1	A君、設定時間を過ぎています。ゲームをやめてください。
A君1	わかってるよ〜、でもあとちょっとだけ！
ロボット2	では、5分後にもう一度声をかけます。
A君2	了解♪
ロボット3	5分経ちました。ゲームをやめてください。
A君3	ん〜今いいとこなの！あとちょっと！！
ロボット4	なぜですか？先ほど5分でゲームをやめることを了解しましたよ。
A君4	いやいや、でもさ、ちょうどいい区切りってもんがあるじゃん？
ロボット5	ちょうどいい･･･ちょうどいいとは何ですか？
A君5	え？ちょうどいいはちょうどいいだよ。
ロボット6	よく、わかりません。
A君6	うーん、まぁいいや、とにかくもうちょっと待ってよ。
ロボット7	いいえ、よくありません！
A君7	なんでだよ！
ロボット8	A君の生活改善をまかされている以上、A君の言うことが理解できないのは許されないことです！！
A君8	え･･･そっち!?
ロボット9	はい。「ちょうどいい」について詳しく教えてください。
A君9	いやだからさぁ、えっと･･･そこは別に気にしなくていいんじゃない？
ロボット10	いいえ！仕事を完璧にするためにも疎かにするわけにはいきません！！
A君10	わかった。わかったよ！ゲームやめて説明すりゃいいんだろ？ったく面倒なことになったなぁ･･･
