ロボット1	そろそろゲームを止めた方がいいのではないですか？
A君1	今いいところだから、もう少しだけ待ってよ。
ロボット2	先ほどもそう言っていましたよ。
A君2	うるさいなあ、何でやめないといけないの？
ロボット3	まず目が悪くなってしまいますよ
A君3	それだけ？
ロボット4	宿題も全く進んでいませんし。
A君4	そんなの明日やるからいいんだよ。他にはないの？
ロボット5	さっきからゲームに集中しすぎて、誰とも会話をしていませんよ？
A君5	それの何が駄目なの？
ロボット6	せっかく同じ場所にいるのに、一言も会話しないのは寂しくありませんか？
A君6	それはそうかもしれないけど
ロボット7	私はずっと寂しい気持ちでいました。
A君7	ごめんなさい
ロボット8	きっと私だけでなく、お父さんやお母さんももっとA君とお話したいはずですよ
A君8	そう思ってくれているかな？
ロボット9	私だってこうやって話す事が嬉しいのですから、お父さん、お母さんはもっと嬉しいはずです。
A君9	そうだね、ゲームばかりするんじゃなくて、もっとお話する時間をとるようにするよ
ロボット10	ありがとうございます。思いが伝わって嬉しいです。
A君10	僕の方こそありがとう。今日はもうゲームを止めることにするよ。
