ロボット1	Ａ君、Ａ君。ゲームを初めてもう○時間だよ？そろそろゲームは終わりにしよう
A君1	えー。今良いところだからあとちょっと！
ロボット2	でもゲームは一日○時間って、僕と約束したよね？約束守ってくれないの？
A君2	ちょっとくらいいいじゃん…　明日からちゃんとするからさぁ
ロボット3	Ａ君は僕との約束を破るの？　僕、とっても悲しい
A君3	それは…　約束は約束だけど、ほんとにあとちょっとなんだ
ロボット4	本当に？本当にあと少しで終われる？　あと５分以内なら今日は許そうかな
A君4	えーー！あとたった５分だけ！？
ロボット5	Ａくん！！約束は○時間だったはずだよ！あと５分で終われないなら、お家の人に言って叱ってもらうよ！
A君5	げぇ！それは嫌だー！
ロボット6	それにねＡくん、僕はＡ君の健康の為を思って言ってるんだよ
A君6	それは…わかってるよ
ロボット7	長い時間ゲームばかりしてると目が悪くなっちゃうんだよ。Ａ君、目が見えなくなっちゃたら嫌でしょう？
A君7	それは嫌だな
ロボット8	僕、Ａ君にはずっと健康で元気でいてほしいんだ。病気になんかなったら僕はとっても悲しい
A君8	うん、そうだよね…お父さんとお母さんも心配するよね
ロボット9	そうだよ。Ａ君のためにも、家族や僕の為にも、ゲームの時間はきっちり守ろう？
A君9	そうだね、わかった。今セーブして止めるよ
ロボット10	よかった！Ａ君、僕との約束守ってくれてありがとう！
A君10	うん。これからはちゃんと時間を守ってゲームするようにするよ
