ロボット1	A君そろそろゲームをおしまいにしましょうか。
A君1	もうちょっと。
ロボット2	A君のもうちょっとはとても長いですよね。
A君2	いいじゃん。
ロボット3	私はA君のお尻に根が生えてそのまま立ち上がれなくなるんじゃないかと心配しているんです。
A君3	そんなわけないでしょ。
ロボット4	あなたがお尻に根が生える第１号かもしれません。
A君4	なにそれ。
ロボット5	そんなことになったら私は悲しいのです。
A君5	うるさいなあ。
ロボット6	A君がゲームを止めるまで私はうるさいですよ。
A君6	もう。
ロボット7	いつまでもロボットにうるさく言われたくないですよね。
A君7	あたりまえだよ。
ロボット8	それではお店に食べ物や本などを買いに行ってはどうですか。
A君8	えー、面倒だよ。
ロボット9	もしかしたら新しい出会いがあるかもしれませんよ。
A君9	ないってそんなの。
ロボット10	このままだと私はずっとしゃべり続けますよ。
A君10	かんべんしてよ。
ロボット11	外に出たらちゃんとした人間とお話をするチャンスがあるんですよ。
A君11	まあね。
ロボット12	何事も行動あるのみですよ。
A君12	わかった、出かけてくるよ。
ロボット13	A君の前向きな気持ちにエールをおくります。
A君13	大げさだなあ。
