ロボット1	そろそろゲームセンターを止めるお時間ではないでしょうか。
A君1	うーん。あと５分。
ロボット2	５分経ちましたが。
A君2	うーん。あとちょっと。
ロボット3	いい加減にしないと、お母様に怒られますよ。
A君3	分かってるよ。
ロボット4	お約束の時間は大分過ぎておりますよ。
A君4	分かってるってば！
ロボット5	口約束とは言っても、そこには効力が発生しております。いかがさないますか。
A君5	しつこいなぁ。
ロボット6	お約束を守れないということは、ゆくゆくは個人の信用問題に発展いたします。
A君6	このクエストが終わったら止めるから。
ロボット7	既にお時間が経過しており、その後のお約束も守られてないようですが、どうなさいますか。
A君7	だから、ちょっと待ってってば！
ロボット8	予定時刻を確認しながら行うのが仕事の出来る人でございます。そのような予定も立てられないのでしょうか。
A君8	今止めてるところだから！
ロボット9	電源を落とすところで終了と考えておりますが。
A君9	ほら！もう止めたってば！
ロボット10	予定時刻より１５分オーバーしております。明日の分と差し引きなさいますか？それとも、１５分何かの労働をなさいますか。
A君10	本当にこまかい奴だなぁ！
