ロボット1	ねぇねぇ、そろそろ寝る時間だよ？
A君1	だから何？
ロボット2	だから何って・・・いつまでテレビゲームやってるつもり??
A君2	それ言うの3回目。そろそろウザいんだけど。
ロボット3	！あのさぁ、僕だってこんな事言いたくないよ！でも君が明日ちゃんと学校行けるようにしないといけないんだ、それが僕の仕事なんだから！
A君3	はぁ、誰が連れてきたんだよ、こんなポンコツロボット・・・
ロボット4	おぃ、聞こえてるぞ独り言！
A君4	口うるせぇのはクソババアとかわんねぇし・・・
ロボット5	僕は君のお母さんに言われてここに来たんだぞ！
A君5	・・・え??
ロボット6	君はいきなり僕がやってきて、しかも小言ばっかり言うから嫌で仕方がないだろう。でもこれは君のお母さんから頼まれた事なんだ。・・・君はさっきみたいにお母さんの事クソババアとか悪くいうけど、ほんとはそんな事思ってないんだろ？
A君6	??なっ・・・
ロボット7	僕は知ってるよ。ずっと見てきたんだ。君のお母さんは女手ひとつで君を育ててきて夜は仕事で家にいない。寂しくて、でも素直になれない。仕方なくテレビゲームに没頭してしまうんだ。
A君7	・・・知った口聞くなよ??
ロボット8	わかるよ、君の辛い気持ち。そして、お母さんもそれに気付いてた。ーだから、お仕事ロボットの僕を雇ったんだ。僕の本当の仕事はね、君の躾やなんかじゃない。君の話し相手になる事だったんだ。
A君8	・・・なんだよそれ・・・
ロボット9	最初は少しでも僕に興味持ってほしいと思って話しかけてたけど、君が全然テレビゲームから離れないから僕も段々イライラしてきたんだ。ほんとごめんね。
A君9	・・・今更謝られても。
ロボット10	ふふっ、そうだね。でも凄いよ。僕達今の短い間にこんなに会話したんだよ。ずっとテレビ画面にかじりつけの君が僕と正面から会話してる・・・これって凄くない？
A君10	プッ・・・オメェまじ変わってんな。ーしょうがねぇからそのお話しとやらに付き合ってやるよ。
