ロボット1	A君、そろそろゲームをするのをやめた方がいいのではないですか？
A君1	いや。
ロボット2	目が悪くなりますよ。
A君2	いいんちゃう。
ロボット3	どうしてですか？僕はA君に目が悪くなられては困ります。
A君3	？僕の目が悪くなっても関係ないやん。
ロボット4	A君の目が悪くなると、僕は悲しいです。
A君4	えっ、、意味がわからん。なんで君が悲しくなるん？
ロボット5	A君はなんの為に目がついているのですか？
A君5	見るため。日常生活必要だから。
ロボット6	目が悪くなるとどうなりますか？
A君6	見えにくくなる。
ロボット7	そうです。今当たり前に見えている物がみえづらくなるのです。
A君7	それでー？
ロボット8	目が見えない人の気持ちを考えた事がありますか？
A君8	ないなぁー。
ロボット9	A君は大切な人や友達、いつも見えている景色が見えなくなったらどう思いますか？
A君9	‥‥
ロボット10	あの時、僕の言うことを聞いておけば良かったと後悔しますよ。僕はA君の目が悪くなって、僕の事もちゃんと見てもらえなくなると思うと凄く悲しいです。
A君10	‥‥
ロボット11	お願いですから、今日はもうやめて下さい。明日も出来るじゃないですか。
A君11	そうだね。明日も出来るよね。ありがとう。ロボット。
ロボット12	A君が僕の言う事を受け止めてくれてとても嬉しいです。
A君	なに言ってんだよ。
