ロボット1	そろそろゲームを終わりましょうか？
A君1	あともう少し。
ロボット2	さっきもそういいましたよ？
A君2	もう少し、切りの良い所まで。
ロボット3	5分経ちました、そろそろゲームを終わりましょう。
A君3	あともうちょっとなんだ。もう少し。
ロボット4	具体的に切りの良い所というのは、あと何分後なのですか？
A君4	うーん、分からない。
ロボット5	それでは、いつ止めるのか見当がつきません。
A君5	でも、あともう少しなんだ。
ロボット6	もう、ゲームを終了予定の時間から30分もオーバーしています。このままでは、ゲームのやりすぎで視力が落ちてしまいます。
A君6	もう、うるさいなぁ。今止めたら今までのゲームが無駄になるんだよ。
ロボット7	A君。どうして、うるさいなんて言うんですか？私はA君のためを思って言っています。まだ、宿題や寝るまでにやらなければいけない所が沢山あります。このままゲームを続ければ、いつもより寝るのが2時間遅くなりますよ？それでも良いんですか？
A君7	分かってるよ。
ロボット8	分かってるなら、寝るまでに何をしないといけないか、言ってみて下さい。
A君8	宿題とか、お風呂とか、歯磨きとか。明日の学校の準備だね。
ロボット9	そうですね。それが全部寝るまでに終わりますか？
A君9	終わりそうにないね。
ロボット10	では、ゲームを終わりましょう。
A君10	分かったよ。
