ロボット1	そろそろ就寝時間ですよ。ゲームをやめてお休みにならないといけません。
A君1	ちょっと待って、今いいところなんだから。
ロボット2	Ａ様のちょっと待っては何時間でしょうか。もう許しません。
A君2	いいじゃないそんなに怒らなくても。
ロボット3	以前にも申しましたように、早く眠らないと身長が伸びませんよ。クラスでも一番背が低いのでしょう。
A君3	そうだけど。今面白いんだよ。
ロボット4	Ａ様の大好きなＢ子様は背の低い男の子は嫌いでしたよね。
A君4	そうだった。
ロボット5	ゲームをやめて、早くお休みにならないと・・・Ｂ子様は他の男の子に・・・ああ、なんと悲しいＡ様の未来・・・。
A君5	脅かさないでよ・・・泣き落としまでしなくても・・・。
ロボット6	私は推測されるＡ様の未来を述べているのです。
A君6	未来・・・。
ロボット7	いいですか、Ａ様、今ゲームをおやめになり、すぐお休みになれば、成長ホルモンが出て、身長が伸びるのですよ。そうしたら、Ｂ子様が好意を持ってくれます。
A君7	そうだけど。
ロボット8	それだけではありません。Ｂ子様以外でもＡ様に好意をもたれる女子がたくさん・・・ああ、何と薔薇色の未来でしょうか。
A君8	そんなに大げさに言わなくても。
ロボット9	大げさではありませんよ。今の選択がＡ様の悲しい未来か、明るい未来かの分かれ道なのです。
A君9	はあ・・・でも、ゲームは楽しいし、やめたくないし・・・・。
ロボット10	今はセーブして、明日またチャレンジすればよいのではありませんか。明日気分を改めればさらに得点がアップしますよ。得点をアップするには、頭脳をクリアにして、体の疲れをとった方がいいでしょう。
A君10	そうだけど・・・。ああ、もう負けたよ。今日は止めて寝る！！！
