ロボット1	今日はもういい加減にゲームやめてはいかがです？
A君1	今新しいクエスト始まったからあと30分だけ
ロボット2	そのセリフは30分前にも聞きました！やめましょう！？
A君2	更に30分追加で
ロボット3	他にやる事はたくさんありますよね？
A君3	あるけれども始まっちゃったから
ロボット4	始めたのは貴方じゃないですか！
A君4	うん、だからあと30分だけ
ロボット5	いつもそう言ってズルズル続けて、後で後悔してるじゃないですか！
A君5	今日は強い仲間と一緒だし、いい感じで進んでるから大丈夫
ロボット6	私はあなたの事が心配なんです･･･
A君6	それはとても感謝しているよ
ロボット7	今日位は私の言う事を聞いて欲しいなって思うんです･･･
A君7	ゲームで全滅するまで待って
ロボット8	本当にやめないとなると、力技で無理矢理にでも止めさせて頂きます
A君8	お前は注意する事しかできないだろうが
ロボット9	口で言っても無駄なようなので、実力行使させて頂きます
A君9	あれ？通信が途切れた･･･
ロボット10	何度注意しても無駄と判断した為、本日中はそのゲームにアクセスできないように制限をかけさせて頂きました
A君10	そこまでする必要は無いだろう！
ロボット11	そこまでさせたのは貴方です！
A君11	ロボットみたいなヤツだな！
ロボット12	お褒め頂き光栄です
A君12	今日はもうゲームやめとくわ
