ロボット1	ゲーム時間が長くなっているので、そろそろやめませんか。
A君1	今いいところなので、もう少しします。
ロボット2	ゲームを長時間していると、目が悪くなるのですよ。
A君2	大丈夫です。
ロボット3	その上生活リズムも崩れて体によくないのですよ。
A君3	もう少ししたいです。
ロボット4	今どんなことをしているのですか？
A君4	友達と一緒にやるゲームで、途中で自分だけやめられないのです。
ロボット5	では後どのくらいかかるのですか？
A君5	今のをクリアするまでかかります。
ロボット6	時間的にはどのくらいですか？
A君6	わかりません。
ロボット7	終わる時間がわからないのなら、私が手伝います。
A君7	必要ありません。
ロボット8	そうしたら、早く終わるかもしれません。
A君8	ゲームの楽しみがなくなるので、必要ないです。
ロボット9	ゲームは楽しいものですが、生活改善のためには時間を決めることが大切ですよね。
A君9	それはそうです。
ロボット10	今回は、そのゲームがひと段落するまで待ちます。
A君10	ありがとう
ロボット11	次からは、時間を決めてその中で終わるようにしてください。
A君11	わかりました、もうすぐ終わります。
