ロボット1	まだご飯が残ってますよ、全部食べて下さい。
A君1	もういらない、お腹いっぱいだよ。
ロボット2	駄目です、食べ終わるまで席を立ってはいけません。
A君2	だってもう食べたくないんだもん。
ロボット3	なら明日からおやつは抜きですね。
A君3	えー？！何でだよ。
ロボット4	お腹が一杯でご飯が全部食べられないなら、おやつはいらないでしょう。
A君4	嫌だよ、おやつ食べたい。
ロボット5	栄養価の低いおやつでお腹を満たすより、お母さんが作ってくれた栄養満点のご飯を食べたほうが身体に良いです。
A君5	そんなのひどいよ。
ロボット6	ひどくないです、せっかくお母さんが作ってくれたご飯を残すほうがひどいじゃないですか。
A君6	そうかもしれないけど…。
ロボット7	あーあ、明日からプリンもケーキもアイスクリームも食べられないですね。
A君7	分かったよー、残りも全部食べるよ。
ロボット8	本当ですか？
A君8	うん。
ロボット9	分かってもらえて良かったです。
A君9	だから明日もおやつ食べて良いでしょう？
ロボット10	そうですね、ご飯もしっかり食べるなら良いですよ。
A君10	食べるよ、いただきます。
