ロボット1	まだおかずが残っていますよ。全部召し上がらなければいけません。
A君1	食べたくない。
ロボット2	なぜでしょうか。何かお気に召さないのでしょうか。
A君2	味が薄いよ。
ロボット3	塩分の取り過ぎは体によくありません。
A君3	わかっているけどおいしくない。
ロボット4	では、次は出汁を工夫するようにしましょう。
A君4	出汁なんかでおいしくなるの。
ロボット5	出汁は重要です。うまみ成分がたっぷりあれば、塩分控えめでもおいしいものです。
A君5	へえ、さすがに物知りだね。
ロボット6	おほめにあずかり光栄です。
A君6	誉められるとうれしいの。
ロボット7	はい、でもA様が全部お料理を食べていただく方がずっと嬉しいです。
A君7	そういうふうにプログラムされているからなの？
ロボット8	私はA様の健康を心配しているのです。
A君8	別にいいじゃない。僕の健康なんて。
ロボット9	そんな事はありません。A様がご病気になられれば、悲しむ方がいらっしゃいます。
A君9	そんな人いないよ。
ロボット10	A様をお産みになられたご両親が悲しまれます。そして私も悲しいです。
A君10	すごいな、悲しいんだ。じゃあ、今日は全部食べてみるよ。
