ロボット1	あっ、A君食べ物は残しちゃだめだからね。
A君1	なんでだよ、なんでわかったんだよ。嫌いなものは、食べないよ。
ロボット2	A君、だめだよ！そんな態度だったら、許さない！僕は怒っているよ。
A君2	いくら怒って嫌だぞ。
ロボット3	嫌いなものでも食べなくちゃ、A君の体調を考え栄養バランス良く食べなくちゃいけないし、何より作った人のこと考えたことがあるのか？
A君3	ない、ないよ。
ロボット4	栄養バランスが悪いと、病気や怪我になりやすい。そして作った人が心を込めて作ったのに残したらどんな気持ちか。考えただけで悲しいよ。
A君4	僕も、考えたら悲しくなってきた。
ロボット5	A君の栄養バランスは、僕が責任を持ってデータ化するよ。気持ちがわかる人間になってほしい。
A君5	ロボットも人間に気持ちがわかるんだな。
ロボット6	ああ、わかるよ。Aくんと一緒にいて色々と気持ちや感情も持ってきたんだ。
A君6	僕、食べ残さずに頑張るよ。ロボット、データよろしく。
ロボット7	嬉しい。
A君7	泣いているのか？
ロボット8	泣いてないよ。
A君8	これからもよろしくな。
ロボット9	怒ったり、泣いたり、笑ったり、A君と一緒にいると充実している。A君は僕の友達だ。
A君9	ああ、友達だよ。一番の友達だ。
ロボット10	あっ、食べ残ししているぞ！怒るぞ！
A君10	ははっ、今から食べるってば。安心しろよ?。
